                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.69474,                0.68486,                 1.0996,                0.85643,                0.77886,                0.85578,                0.63532,                0.90094,                 0.8602,                 1.2269,             0.00057778,             0.00057778,             0.00057778
                     36,                0.69486,                0.66689,                 1.1003,                0.86065,                0.78542,                  0.852,                0.65015,                 0.8981,                0.84778,                 1.2562,             0.00054478,             0.00054478,             0.00054478
                     37,                0.67994,                0.66402,                  1.081,                0.88945,                0.78921,                0.85756,                0.64416,                0.91116,                0.82685,                 1.2514,             0.00051177,             0.00051177,             0.00051177
                     38,                0.68502,                0.64487,                 1.1049,                0.84058,                0.77932,                0.84085,                0.63378,                0.88712,                0.85752,                 1.2268,             0.00047876,             0.00047876,             0.00047876
                     39,                 0.6787,                0.65242,                 1.0747,                0.84064,                 0.7801,                 0.8388,                0.63293,                0.92937,                0.91126,                 1.2793,             0.00044576,             0.00044576,             0.00044576
                     40,                0.65512,                0.63836,                 1.0659,                0.86324,                0.77367,                0.84232,                0.64042,                0.88108,                0.88764,                 1.2426,             0.00041275,             0.00041275,             0.00041275
                     41,                0.64589,                0.71009,                  1.049,                0.88376,                0.72788,                0.83639,                0.62086,                 0.9384,                0.96817,                 1.2502,             0.00037974,             0.00037974,             0.00037974
                     42,                0.62746,                0.64639,                 1.0106,                0.85632,                0.75551,                0.83329,                 0.6086,                0.90315,                0.90277,                  1.249,             0.00034674,             0.00034674,             0.00034674
                     43,                0.63874,                0.62489,                 1.0561,                0.86902,                0.74956,                0.84282,                0.61682,                0.88532,                  0.885,                 1.2229,             0.00031373,             0.00031373,             0.00031373
                     44,                0.60418,                0.57828,                 1.0006,                0.81078,                0.82537,                0.84742,                0.62962,                0.88608,                0.91197,                 1.1928,             0.00028072,             0.00028072,             0.00028072
                     45,                0.59631,                0.59497,                 1.0098,                0.81503,                0.81119,                0.85404,                0.64063,                0.86146,                0.89588,                 1.1865,             0.00024772,             0.00024772,             0.00024772
                     46,                0.58073,                0.57073,                 1.0041,                0.87347,                 0.7559,                0.85261,                0.64567,                0.84461,                0.83467,                 1.2209,             0.00021471,             0.00021471,             0.00021471
